0,1610602278468219
1,1610602278468222
2,1610602278468224
3,1610602278468225
4,1610602278468227
5,1610602278468232
6,1610602278468238
7,1610602278468241
8,1610602278468242
9,1610602278468257
10,1610602278468259
11,1610602278468262
12,1610602278468262
13,1610602278468264
14,1610602278468267
15,1610602278468268
16,1610602278468272
17,1610602278468274
18,1610602278468278
19,1610602278468280
20,1610602278468282
21,1610602278468292
22,1610602278468301
23,1610602278468305
24,1610602278468306
25,1610602278468309
26,1610602278468314
27,1610602278468314
28,1610602278468322
29,1610602278468328
30,1610602278468332
31,1610602278468332
32,1610602278468334
33,1610602278468335
34,1610602278468336
35,1610602278468337
36,1610602278468337
37,1610602278468349
38,1610602278468362
39,1610602278468363
40,1610602278468366
41,1610602278468366
42,1610602278468370
43,1610602278468375
44,1610602278468376
45,1610602278468381
46,1610602278468384
47,1610602278468389
48,1610602278468396
49,1610602278468398
50,1610602278468401
51,1610602278468403
52,1610602278468403
53,1610602278468405
54,1610602278468406
55,1610602278468408
56,1610602278468409
57,1610602278468409
58,1610602278468415
59,1610602278468427
60,1610602278468427
61,1610602278468429
62,1610602278468432
63,1610602278468432
64,1610602278468434
65,1610602278468435
66,1610602278468437
67,1610602278468438
68,1610602278468438
69,1610602278468439
70,1610602278468440
71,1610602278468440
72,1610602278468441
73,1610602278468445
74,1610602278468447
75,1610602278468450
76,1610602278468452
77,1610602278468452
78,1610602278468452
79,1610602278468455
80,1610602278468455
81,1610602278468466
82,1610602278468468
83,1610602278468468
84,1610602278468473
85,1610602278468473
86,1610602278468474
87,1610602278468474
88,1610602278468475
89,1610602278468475
90,1610602278468476
91,1610602278468476
92,1610602278468477
93,1610602278468478
94,1610602278468484
95,1610602278468488
96,1610602278468489
97,1610602278468492
98,1610602278468494
99,1610602278468498
100,1610602278468502
101,1610602278468505
102,1610602278468508
103,1610602278468511
104,1610602278468514
